ROW_NUMBER,TRANSACTION_TYPE,ERRORS,DATA_ORDER_ID,DATA_CUSTOMER_NAME,DATA_CUSTOMER_EMAIL,DATA_CUSTOMER_PHONE,DATA_CITY,DATA_ORDER_DATE
1,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,251212,Shanaya Madan,ahana-vora@gmail.com,7332867654,Chennai,21-04-2023
2,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,848133,Mannat Talwar,akarsh20@wason.com,8578396720,Pune,11-06-2024
3,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,511492,Aaryahi Shenoy,rde@gola.info,7994838320,Chennai,02-06-2024
4,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,128097,Jayesh Jha,urvi41@yahoo.com,9834699453,Kolkata,24-03-2025
5,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,905038,Armaan Sarna,nishith98@chauhan.com,7513076043,Pune,07-07-2024
6,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,541502,Ritvik Chatterjee,vsaha@kulkarni-comar.net,7982033579,Kolkata,16-11-2024
7,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,866511,Ayesha Shetty,,8855091969,Chennai,31-10-2023
8,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,512203,Tushar Rau,lmangat@yahoo.com,8215928685,Delhi,08-02-2024
9,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,553987,Samiha Gill,,7518091323,Ahmedabad,05-04-2025
10,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,209910,Priyansh Agrawal,routkartik@gmail.com,7802905101,Kolkata,24-11-2023
11,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,847839,Gokul Varghese,zaina83@tiwari.net,9925325117,Pune,16-05-2023
12,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,583064,Tarini Vyas,sakshambarman@chakraborty.com,9205613992,Ahmedabad,13-10-2024
13,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,733533,Eshani Ramaswamy,gkapadia@hotmail.com,9901804796,Pune,09-11-2024
14,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,584429,Badal Grewal,ohayer@hotmail.com,7999251911,Kolkata,22-02-2024
15,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,269218,Shlok Gola,aliabatra@garde.com,7394687208,Ahmedabad,13-06-2023
16,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,277847,Dhruv Raman,koshyyashvi@balakrishnan.com,8852639340,Mumbai,20-09-2023
17,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,457035,Jhanvi Sehgal,darshitbose@sridhar.biz,8745916414,Delhi,24-03-2025
18,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,597401,Kiaan Bansal,,7766959137,Delhi,20-03-2025
19,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,531065,Navya Agrawal,,7121386682,Hyderabad,25-02-2025
20,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,266733,Adah Kamdar,gokul03@gmail.com,8643563127,Mumbai,11-04-2025
21,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,718874,Azad Andra,myrasagar@gmail.com,7350316294,Ahmedabad,28-03-2025
22,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,397491,Ira Sawhney,nirvaantiwari@hotmail.com,9234330853,Pune,05-04-2025
23,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,898837,Ivana Grover,aarav05@hotmail.com,8006314846,Hyderabad,19-06-2024
24,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,628023,Indranil Andra,kismatgoda@thaman-subramaniam.org,9038756159,Mumbai,17-09-2023
25,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,217981,Farhan Ravel,akarsh27@wadhwa.biz,7176932950,Chennai,09-04-2025
26,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,486172,Hansh Borde,,8578254940,Kolkata,25-04-2024
27,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,462199,Tara Dani,cbajaj@hotmail.com,9559381066,Delhi,11-04-2025
28,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,249624,Biju Choudhary,bhatnagarsuhana@gmail.com,7444474733,Chennai,28-03-2025
29,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,759139,Priyansh Sha,lavanya40@gmail.com,9666390588,Bangalore,08-03-2025
30,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,474993,Charvi Ahluwalia,,7866106217,Pune,01-02-2024
31,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,903347,Trisha Ghosh,aaryahi77@yahoo.com,9403455972,Delhi,13-02-2025
32,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,595639,Armaan Sarkar,shraymaharaj@dewan.com,7534926256,Ahmedabad,04-10-2024
33,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,760885,Prisha Borra,eraman@vala.com,9352674462,Kolkata,02-04-2025
34,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,643914,Kiara Golla,,8620200747,Delhi,04-05-2024
35,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,890029,Taran Loyal,,8003140074,Ahmedabad,20-03-2025
36,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,156523,Miraan Lata,lhans@yahoo.com,8762147286,Mumbai,03-05-2024
37,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,305198,Hazel Solanki,shalv93@hans.org,9372814066,Pune,23-09-2023
38,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,370147,Parinaaz Sheth,qbal@gmail.com,7962001833,Pune,12-04-2025
39,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,285490,Lakshay Loke,lcheema@sharaf.com,9040520243,Bangalore,14-04-2025
40,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,858599,Rasha Saxena,,8546090013,Ahmedabad,07-09-2023
41,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,712034,Divyansh Bhasin,jivikavenkatesh@gmail.com,9243605829,Delhi,19-03-2025
42,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,440442,Tushar Chokshi,dhanush65@dhillon.org,7253389892,Bangalore,19-12-2024
43,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,410423,Vihaan Hayre,,9670550456,Bangalore,21-09-2023
44,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,498577,Miraan Talwar,yhayer@khurana.com,8676320773,Hyderabad,20-04-2023
45,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,765240,Zaina Cheema,joshizoya@yahoo.com,7719454656,Pune,31-03-2025
46,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,143476,Pari Dutta,,9929530775,Hyderabad,04-12-2023
47,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,405251,Samarth Kumar,dasguptatejas@hotmail.com,9229991747,Pune,31-03-2025
48,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,678221,Umang Varughese,balihazel@rajan.com,9848435858,Hyderabad,24-06-2024
49,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,552159,Prisha Venkataraman,srivastavahiran@thaker.com,8043541813,Ahmedabad,02-05-2024
50,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,136596,Onkar Ahuja,,9387224925,Hyderabad,28-03-2025
51,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,815362,Aaryahi Wali,nehmatsalvi@hotmail.com,7576253427,Hyderabad,05-07-2023
52,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,530489,Alia Deo,kartikgoswami@sule-divan.info,9838248510,Delhi,14-03-2024
53,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,382139,Khushi Anne,rajagopaleva@gmail.com,9773380239,Chennai,18-06-2023
54,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,493386,Nitya Bawa,,9119264476,Hyderabad,08-04-2025
55,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,863233,Indrans Gade,,8881824103,Pune,11-03-2024
56,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,318287,Jiya Mann,,9012500763,Delhi,22-03-2025
